我在 2011 年成为《法律与秩序》剧迷。 我当时正从中风中康复。 回家后，我尽量每一集都会追。 在 20 年内连续刷同一部剧是件难事。
大家都喜欢鲍勃，因为他在电影内扮演着一个备受青睐的角色。 鲍勃讨厌它，因为他一点也不像那个角色。 吉姆叫鲍勃说出他的角色的口头禅。 对鲍勃来说，这简直是强人所难，于是他勃然大怒。
尼拉的母亲被查出患有第四期癌症。 尼拉知道母亲时日不多了。 尼拉悉心为母亲提供良好的生活，直到母亲去世。 尼拉和她母亲一起创造了许多美好的回忆，她们很幸福。
一位母亲注视着她新生男婴的脸。 她梦想着他们将来在一起的生活。 她的梦想是给他一个她不曾有过的童年。 她付出时间和精力，努力达到她的目标。
圣诞节来临，杰西卡和她的兄弟们非常兴奋。 他们早早入睡，只为能早点醒来。 他们一醒来就朝圣诞树跑去。 树下只有一个盒子。
杨和金都使用蒙特梭利教育法。 金决定从孩子手上没收所有的龙和奇幻小说。 杨对金的决定很失望。 杨争论说，想象力和幻想很重要。
开学第一天，我和两个最要好的朋友一起走去学校。 我们都很紧张。 到学校后，我们查看了三年级的班级名单。 我们仨都被分到同一个教室了！
邻居家的狗总是一大早就叫个不停，杰夫很生气。 狗叫声总是很早就把杰夫吵醒了。 一天，他的邻居把狗送走了。 杰夫很高兴，他不再听到狗叫声了。
霍莉让弟弟往她背上涂防晒霜。 他不紧不慢，非常仔细地涂抹。 那天晚些时候，她不知为何周围的人都在笑。 后来她意识到弟弟用防晒霜画了一个图案。
妻子喜欢开着夜灯睡觉，我以前常常取笑她。 她有几天不在城里，我没点夜灯就睡了。 我半夜醒来喝水的时候被绊倒了。 我没看到地上的衣服，受到了严重的撞伤。
艾米决定从威斯康星搬到佛罗里达。 她为这次搬家已经计划好几个月了。 搬家那天，她和朋友们告了别。 她独自一路开车到佛罗里达。
凯西去购物。 她发现了一双很棒的鞋子。 鞋子标价300美元。 她买下了这双鞋。
阿玛雅的生日快到了。 她马上就五岁了。 她妈妈计划给她办一个公主派对。 她邀请了很多学校里的朋友。
今天我和一群男生去了海滩。 我们带着一个飞盘和球。 在水里玩耍的时候，其他一些人也加入了我们。 能交到新朋友真好。
那是个周五晚上，我决定租一部电影。 我去Redbox选片子。 一个小时后，我终于决定选《无间道风云》。 我回到家，做了点小吃，然后去放电影。
宝拉写了很多口语诗。 她的朋友们都很支持她，尽管写得很糟。 他们邀请她参加派对。 宝拉开始念一些口语诗。
下了校车后，我发现手机不见了。 手机订阅了服务，我决定取消它。 客服人员帮我处理好了。 他还补充说，有一通打到牙买加的电话。
今天是艾瑞丝的五岁生日！ 她妈妈为她准备了一个惊喜派对。 她所有的朋友都到齐了。 她拆了礼物，吃了蛋糕。
蒂娜每次去海滩都穿红色的比基尼。 她这个嗜好众所周知，大家也指望她会一直这么穿。 有一天，她穿着蓝色比基尼和朋友们见面，让他们大吃一惊。 他们不明白她为什么要穿不一样的衣服。
特德一直梦想着拥有自己的房子。 然而，他担心自己永远无法实现这个目标。 有一天，他父亲给了特德一个惊喜，说会帮助他。 泰德的父亲帮泰德分担了买房的首付。
艾薇在城堡里逛了几个小时。 她探索了这座建筑的每一个角落和缝隙。 她的上司询问她学到了些什么。 她轻松出色地回答了他们的问题。
埃德和他的双胞胎兄弟伊桑在网上浏览女性交友资料。 然后他们看到了一对双胞胎女士的资料。 他们给萨米和萨拉打电话，安排了一次约会。 四个人都很享受这次约会。
马可今天要开始一份新工作。 第一天上班，他想以良好的形象示人。 马可决定系上领带。 他的新老板对他优质的外表很满意。
蒂姆想出国旅行。 他从来没有坐过飞机。 他决定坐飞机去中国。 他还挺享受这次飞行的！
明天学校有一场考试，露西没怎么用功。 天色已经很晚了，她不得不上床睡觉。 第二天早上，学校因为下雪停课了。 露西很幸运，她用一整天的时间来学习备考。
弗雷德喜欢悬疑小说。 他以前每个月至少要读一本。 他的朋友们发现这一点后，都给他买一本当作生日礼物。 但遗憾的是，大家的关注开始让他有些恼火了。
蒂娜有一家自己的面包店。 她在面包店里制作漂亮的蛋糕。 有一天，她接到一笔大订单，却发现面粉已经用完了。 她打遍全镇的电话，终于找到了一些。
莎拉和她的朋友们去了水上公园。 他们买好票，穿上泳衣。 他们在最大的滑梯前排队等候。 他们从滑梯滑下来，玩得非常开心。
杰布在用石头制作雕塑。 他做了一个乌龟形状的雕塑。 山姆过来，把它打倒了。 杰布开始大哭。
杰夫要和他班上的同学去雨林做实地考察。 杰夫很兴奋，迫不及待想出发。 杰夫到了那里后觉得非常失望。 雨林没什么意思，也无事可做。
丹妮是重症监护室的护士。 一天晚上，已经疏远了的父亲成了她的病人之一。 丹妮心里不愿意，但还是为她的父亲进行了治疗。 随着他病情好转，两个人能一起聊天了。
吉娜在她朋友露丝的家里。 一个名叫简的陌生女孩出现了。 简很粗鲁，而且自以为是。 吉娜后来得知，简是她的对头乔的妹妹。
艾拉在太阳下呆了一天。 她忘记涂防晒霜了。 她的皮肤被烧得火辣辣的疼！ 但疼痛很快褪去，留下了小麦色的皮肤。
尼尔刚刚抵达肯尼亚。 他加入了一个野生动物旅游团。 他们看到了各种各样的珍禽异兽。 尼尔拍下一张又一张的照片。
吉娜决定烤一个苹果派，这是她第一次烤。 她非常小心，每一步都完全按照食谱的要求的进行。 把派送进烤箱后，她怀着急切的心情等待着，迫不及待想尝一口。 结果非常好吃！
帕布罗想要一大块圆形硬糖。 但他没钱。 他翻遍壁橱，看看有什么能卖的。 他找到了一个玩具熊，然后以50美分的价格卖掉了它。
安娜将仓库租出，举办一场大型派对。 派对布置得很棒，但缺少了些什么。 然后安娜意识到——他们需要一个迪斯科球！ 她从一家派对用品公司租了一个球。
奥斯卡去苗圃买一棵树，准备种在他的院子里。 对于到底要买哪种树，他举棋不定。 有很多树可供选择。 最后，他选了一棵盆景树。
体育馆里有一场大型篮球赛。 我和我的朋友是队友。 比赛变得很激烈，两队最终打成平手。 时间还剩4秒，我们必须得分。
德克是一位优秀的钢琴家。 他经常在外公开演出赚钱。 在最近的一次演出中，他的钢琴上有一个琴键坏掉了。 他尽最大努力完成了演出，但音乐并不悦耳。
伊娃喜爱她院子里的松鼠。 她开始用花生酱三明治喂它们。 它们很快就习惯了她的存在。 其中一只特别友好。
安迪热爱海滩。 他问妈妈他们能不能去海滩。 安迪的妈妈带他去了海滩。 在去海滩的路上，天开始下雨。
我买了一个带挂绳的手机套。 我的手机需要一个这样的手机套。 手机套到了，但没有挂绳。 网站说这个手机套带有支架，但没有挂绳。
我上周把床上的床单换了。 我厌倦了旧床单。 新的看上去更漂亮，也更舒服。 我想我会把它们留下来。
切斯特别想要一个新玩具。 他妈妈不愿意给他买新玩具。 她建议他把零用钱存起来。 他把零用钱存起来了。
蕾妮受艾迪·范·海伦的音乐的启发。 她决定学弹吉他。 她买了一把电吉他和一个吉他音箱。 她讨厌用手指按压琴弦。
比尔去钓鱼，钓到了很多鱼。 渔获太多，他不得不送给别人一些。 他的邻居们家境贫寒，对比尔送的鱼心怀感激。 邻居们的境况终于好转了。
上周断网了。 妻子和我都觉得无聊透顶。 干什么都觉得无聊。 最后我们只是喝酒，聊了会儿天。
蒂姆这辈子一直想做音乐。 蒂姆整天练，天天练。 蒂姆积攒了足够的歌曲后，给唱片公司打了个电话。 唱片公司决定为他录唱片，蒂姆很开心。
亚历克斯怀疑他的猫蒂格身上可能有跳蚤。 蒂格一天到晚对自己挠个不停。 亚历克斯把蒂格带到兽医那里去看诊。 兽医证实，蒂格身上确实有跳蚤。
海莉是一个著名实验室的年轻科学家。 每天她都为眼下的项目努力工作着。 她的一个同事暗中窃取她的研究。 海莉在他发表在科学杂志上的文章中发现了这一点。
山姆想办一个派对。 山姆邀请了他所有的朋友和邻居。 派对变得失去控制。 所有客人都厌恶地离开了派对。
凯蒂睡不着。 她蹑手蹑脚地下了楼，进入厨房。 她给自己倒了一杯牛奶。 然后她把它放到微波炉里加热。
汤姆在和他的妻子贝基聊天，她今天工作不顺心。 他决定把她最爱的饭菜带回家，给她一个惊喜。 下班回家的路上堵车了。 买好饭菜后，他到家的时间比计划晚了很多。
他们得为新房子挑选一个炉灶。 他们不确定选哪个牌子好。 他们喜欢Viking的耐用性。 他们也喜欢Thermador优惠的价格。
杰丝敏没有为数学大考复习。 她觉得临场发挥就行了。 杰丝敏很快意识到试题很难。 她决定作弊，偷看邻座的试卷。
山姆搬到了洛杉矶，立志成为电影明星。 他没什么钱，但他觉得到那里去是唯一的出路。 两个月后，山姆睡在自己车里，一文不名。 一天，他到中国剧院乞讨。
本很晚才醒来。 本决定不吃早餐就去上班。 工作太忙了，没有片刻休息，也没有时间吃午饭。 下班后，本又碰到大塞车。
达伦上班迟到了，因为他找不到他的车钥匙。 他翻遍了整座房子。 他问妻子是否知道车钥匙在哪里。 她叫他翻翻他的口袋。
上周，我去面试了一份工作。 我女朋友帮我挑了根新领带。 我们去了商店，找了几小时。 我找到三条我喜欢的。
哈里喜欢曲棍球。 他决定报名参加当地的联赛。 哈里参加了球队的选拔赛。 哈里希望自己表现得够好，可以加入球队。
小苏在动物园里骑大象。 一开始她很喜欢，但后来就害怕了。 她开始哭着喊妈妈。 动物园的饲养员不得不叫停大象，把她救了下来。
汉娜是位杰出的艺术家。 她总是天赋傍身。 她决定参加一个艺术大赛。 所幸的是，她能赢得最高奖项。
吉姆正出去倒垃圾。 他在人行道上踩到一块冰而滑倒了。 吉姆重重地摔倒在人行道上。 吉姆感到他手臂上有什么东西断了。
我讨厌洗衣服。 给袜子配对实在太浪费时间。 每次洗衣服我总会搞丢袜子。 我厌倦了到处找袜子配对。
詹姆斯当时 12 岁，是个吃货。 直到今天他才真正想到要自己煮食。 他母亲要他帮忙准备晚餐的米饭。 詹姆斯了解到烹饪可以是多么有趣而且富有创造性。
李知道她妈妈需要新手套，但却买不起。 于是李开始编织一副手套。 她匆忙赶工，希望在圣诞节前织完。 然后，她将它们送给了妈妈。
詹尼弗是个生活在大城市的专业文案。 她工作出色，但总是收到差评。 詹妮弗发现她的老板想毁了她！ 她决定就这些负面言论与老板当面对质。
洛林曾是名垒球选手。 在球队中她表现最出色。 在某天的比赛中，她的踝部严重扭伤。 她再也不能打球了。
艾比和塔米是最好的朋友。 他们两个喜欢聚在一起做些有趣和富有创造性的事情。 他们决定一起做友谊手环，然后送给他人。 艾比做了五个，而塔米比她多做七个。
昨晚发生了大雷暴。 它造成供电中断。 整个社区都停电了。 天气变得实在太冷了，我们感到害怕。
萨尔很生气，因为他父母要搬家。 他们要搬到一幢大楼的八楼。 他讨厌住得这么高。 搬家后，他从卧室的窗户朝外看。
莉迪亚昨晚做了个奇怪的梦。 她梦见自己在学校参加考试。 在考试的当儿，她意识到自己忘了穿裤子！ 她羞愧难当，马上跑出教室。
亚历克斯需要食品杂货。 她将要买的东西列了张清单。 她搜罗了可重复使用的帆布袋。 她走去商店。
尤兰达讨厌过山车。 凯蒂不明白这是为什么。 她决定逼尤兰达和她一起坐次过山车。 尤兰达吐了凯蒂一身。
蒂娜在纽约想做的一件事就是去光顾热狗摊。 她终于看到了一个内森热狗摊，就点了个传统的热狗。 这个食物太美味了。 很贵，但值得。
塔米喜欢钩针编织。 几周后就是圣诞节了，但她其实没什么钱。 她有个主意，就是用多余的纱线织毯子。 于是，完工后她就将它送给了孙女罗蕾莱。
梅琳达想去看恐怖片。 她想一个人去，以证明她是勇敢的。 梅琳达去看电影，并买了张票。 在看电影的时候，梅琳达很害怕。
拉马尔得知某个下午将会有个意想不到的的房客拜访他。 他家里没有什么食物可以给客人吃。 他决定就为他们沏壶茶。 他的客人都喜欢喝他沏的茶。
两年前，我的侄女在马萨诸塞州机动车登记处申请了份工作。 她被录取了，很兴奋。 他们告诉她，她需要驾照，但她没有。 她给她的雇主出示了医生的证明，显示她不能开车。
丽拉五年前被诊断患上了癌症。 每天都在挣扎。 几乎每天她都要去看医生接受治疗。 过去的几个月丽拉的病情终于开始好转了。
弗雷德是班上的新生。 他实在是格格不入，天天日子很难过。 似乎没人想和他成为朋友。 后来在午餐时间，有人和他一起进餐。
乔伊斯在 5 岁时被她的养母收养。 继她之后，她妈妈又收养了 3 个孩子。 乔伊斯喜欢自己大姐的身份，并帮了她妈妈很多忙。 当她搬出去自己住时，她也成了一名养母。
霍雷肖一直不敢吃生蚝。 他的女朋友跟他说，生蚝很美味，但他就是半信半疑。 最终她带他来科德角度假，品尝新鲜的生蚝。 霍雷肖第一次咬了口生蚝，就爱上了。
汤姆喜欢放牛。 他每天都放牛。 一天，一头母牛走散了。 他到处寻找。
阿莉莎在上班途中买了咖啡。 她边开车边喝咖啡。 突然，她不得不紧急刹车。 咖啡洒在她大腿上，到处都是，她的腿被烫伤了。
约翰（John）正沿着公路驾驶汽车。 一辆野马在他旁边，保持着速度。 他开着他的新科迈罗。 他们决定开始比赛。
本（Ben）想在今年的服装比赛中取胜。 他花费了大量的时间从头开始制作自己的服装。 为了搭配自己的服装，他增添了很多舞台妆容。 最终，每个人都对他的装扮印象深刻。
我母亲询问是否可以向我借 100 美元。 考虑到她已经破产了，我把信用卡借给了她。 第二天，当我买食物时，我的信用卡被拒绝支付了。 公司告诉我，我有一笔 320 美元的订单。
凯利（Kelly）的头发是最干的。 她不知道该怎么做。 最后她去看了医生。 他给她开了药。
莎拉（Sarah）害怕与人相处。 她决定逼着自己参加聚会。 在聚会上，她感到头晕和紧张。 莎拉受够了这件事，决定去拜访治疗师。
艾伦（Ellen）在她医生的办公室。 她正要查出她孩子的性别。 她十分想要一个男孩！ 当医生检查她腹部时，她屏住了呼吸。
佐伊（Zoey）因名字奇怪而受到朋友们的嘲笑。 她喜欢自己的名字，希望人们不要那么讨厌。 有一个新的节目中主角的名字就叫做佐伊。 佐伊的名字很快在同龄人中变得非常酷。
米兰达（Miranda）刚拿到她的驾照。 她开着家庭货车出去兜风。 她开了很长时间。 之后她发现自己迷路了。
鲍勃（Bob）去看医生了。 医生告诉他，他过度肥胖。 鲍勃意识到他不得不恢复体形。 他加入了一个健身房，并且开始观察自己的饮食。
朗尼（Lonnie）想要弄清楚在大学里应该选什么专业。 他知道他最终的目标是做一名教师。 他向职业顾问征求意见。 顾问给了他一份先决条件清单。
雪莉（Sherry）喜欢户外探险。 她决定在阳光明媚的日子去州立公园徒步旅行。 沿着小溪散步时，她发现了一些闪闪发光的东西。 她弯下腰捡起了那件闪闪发光的东西。
菲尔（Phil）到公园散步。 这是一个温暖怡人、微风习习的日子。 他在散步时偶遇了几个朋友。 其中一位提出请他喝一杯。
多萝西（Dorothy）的猫怀孕了。 她不知道这是怎么发生的。 她说服了家人留下这些小猫。 最终，她的猫生了 7 只 小猫。
杰里米（Jeremy）的母亲不赞成他的生活方式。 21 岁的时候，杰里米决定搬出这个家。 他在隔壁州找了一所公寓，并找到了一个新工作。 几年后，他改过了自信，赚取了自己的生活费。
特里（Terry）意识到他家周边已经被垃圾掩埋了。 他希望那里看起来像他年轻时一样干净。 他决定每天晚上下班后拾起地上的罐头和烟头。 最后，他的邻居也这样做了，周边的街区变得更好了。
我想在下班后洗个澡。 我从壁橱里取出了衣服和毛巾。 我走进了浴室，打开了淋浴。 我脱光了衣服。
我走到了学校前。 因为我哥哥在上班，我只好等他来接我。 几个小时后，我焦急地等待着。 他终于在午夜前来了。
巴里（Barry）喜欢举重。 他只用他的特殊杠铃举重。 一天，他忘记带自己的杠铃了！ 他决定做有氧运动以代替举重。
安珀（Amber）最近一直有很多工作。 出于其他的私人问题，她感到很大的压力。 她十分希望能够休息一天。 休息日，她和男朋友罗布（Rob）一起出去玩
卡尔（Carl）高中一毕业就参军了。 他签下了一份简短的合同，从而能够前往前线。 他最好的朋友在他面前被杀了。 对卡尔而言，幸福已经成为一个陌生的概念。
埃迪（Eddie）喜欢看人们在海滩上使用金属探测器。 他花了一段时间观察一个男人。 一个小时过去了，那个男人还是没有找到任何东西。 埃迪偷偷地把一堆硬币埋在了沙子里。
当我第一次见到珍妮丝（Janice）时，她不知道如何敲碎核桃。 我不敢相信她没有这项技能是怎样生活到今天的。 我主动提出要教她许多敲碎坚果的方法。 她欣然接受了。
艾米（Amy）独自练习完排球走回家。 她打电话对她的朋友金（Kim）说，她是最差的球员。 当说出口的时候，艾米感觉自己是个失败者。 金提醒她这是第一天，她会进步的。
贝丝（Beth）正在洗澡的时候听到了一阵剧烈的敲门声。 她不想回答并等待着声音的消失。 当她第二次洗澡的时候，她又一次听到了剧烈的敲门声。 让她冲出浴室去应答的时候，没有任何人在那里。
乔（Joe）在大学里学习艺术。 毕业后他获得了绘画学位。 他找不到工作。 他回复了报纸上的一份广告。
鲍勃（Bob）从桌子上拿起了他的眼镜。 他把眼镜装在背包里准备去学校佩戴。 他需要眼镜看黑板。 他在科学课上佩戴它。
第一次参加中学舞会的时候，我感到非常紧张。 我很惊讶我的暗恋对象一开始就答应了。 我们终于获得了跳舞的机会，但我却踩到了她的脚。 她的脚受伤了。
一天晚上，我的朋友出去寻找爱情。 最后，他喝得酩酊大醉。 接下来，我们知道了他一直在跟一个同性恋调情。 过了一会儿，我们与朋友失去了联系。
本杰明（Benjamin）今天去公园了。 他先是倒挂在了单杠上。 接着，他滑下了滑梯。 然后他的妈妈推他荡秋千，他荡得很高。
梅根（Megan）和我从学校步行回家，附近是一条繁华的街道。 我看见三辆蓝色的汽车接连着经过。 我们决定数一数蓝色的汽车。 梅根和我整个下午都坐在路边。
凯莉决定举办一个家庭聚会。 她的父母不在家，所以她决定办一个。 她邀请了所有的朋友。 他们到那里后，玩得很开心。
一天下午，詹姆斯意识到他已经一整天没出门了。 他决定去公园跑步。 他在当地公园的湖边慢跑了很长时间。 当他回到家时，他感到很累但很满足。
拉尔斯意识到甲板上积了很多雪。 他决定铲一些雪。 拉尔斯整个下午都在干活，直到雪被清理干净。 干完后，他就进屋洗个澡。
马特怀疑他的妻子金妮有外遇。 他开始偷偷偷看她的电子邮件。 他发现了一些来自另一个男人的邮件。 读完信，他发现自己的怀疑是对的。
迈克以前经常和佩里打壁球。 他们每周会预定几次场地。 但有一次迈克不小心打到了佩里的后脑勺。 佩里对此很不高兴。
西德尼需要洗衣服。 她根据颜色对脏衣服进行了分类。 她把第一批脏衣服倒进洗衣机。 她加了洗涤剂和织物柔软剂。
飓风就要来了，我们不得不撤离。 我们收拾好需要的东西，前往岛的另一边。 我们和家人在那里等着暴风雨过去。 暴风雨结束后，我们收拾好东西回家了。
汤姆咬了一口士力架，感到一阵刺痛。 里面的一颗小鹅卵石把他的一颗牙齿咯成了两半！ 他急忙去看牙医。 因为情况紧急，他们马上就为他诊治了。
鲁弗斯醒来发现他的帽子不见了。 起初，他不记得它在什么地方。 终于，他意识到昨晚带着它去了酒吧。 鲁弗斯回到酒吧拿他的帽子。
艾莉西亚很高兴能新养一只狗。 她想要新养一只狗已经很久了。 最后她的父母同意给她买一只。 他们开车带她去狗舍挑了一只。
丹想为他妈妈的生日找到一个完美的礼物。 他在购物中心逛了好几个小时，什么也没买到。 他失望地回到家，没有买到礼物。 当他走进来的时候，他妈妈看到了他的脸，问他怎么了。
比尔很穷。 比尔有一份最低工资的工作。 他几乎无法支付账单。 比尔决定去考计算机科学学位。
简喜欢她的新高跟鞋。 她想把穿着它们出门。 她穿着它们去俱乐部跳舞。 几分钟后，她的脚痛得厉害。
约瑟是移民。 他和他的家人从墨西哥来到这里。 约瑟想去墨西哥看望他的其他家人。 他认真计划并购买必要的旅行用品。
汉娜觉得自己浑身僵硬，无法动弹。 她决定报名参加瑜伽班以提高身体的柔韧性。 她很不擅长瑜伽，好几个月都没有进步。 但是，她还是决定坚持下去，继续尝试。
老师宣布将有一次突击测验。 学生们集体发出叹息声。 这是本周内的第二次突击测验。 当老师开始分发试卷时，火警响了。
卡拉担心她的女儿安会过度操劳。 她看到女儿因为参加了很多新社团而没有空闲时间。 当安在一次考试中拿了个 D 回家时，一切都到了紧要关头。 安发誓努力学习，恳求允许她留在社团。
吉娜的家人去伊利诺斯州看她奶奶。 那是第一天，吉娜是最后一个醒来的。 她到厨房去吃早饭。 家人已经吃了大部分的食物。
詹姆斯的生日快到了。 他想要一把狩猎的弓。 他妈妈出去给他买了一个。 他忘了要搭配弓一起用的箭。
一个名叫泰勒的小女孩一直想要一只宠物。 一天，她妈妈带她去了宠物店，给了她一个惊喜。 他们俩都进了商店，环顾四周。 泰勒纠结了半天，到底收养哪只动物。
齐克在办万圣节派对。 他所有的朋友都在打扮。 齐克想扮成吸血鬼或巫师。 然后他决定穿一套更吓人的服装。
珍妮特一直想演电影。 终于，她得到了一部大片中的一个角色。 它本来定于上周在全国首映。 不幸的是，它被推迟了。
玛吉恳求丈夫比尔在后院建个游泳池。 最后他让步了，泳池也造好了。 很快，玛吉每周都要举办泳池派对。 在一次聚会上，她看到一个穿着比基尼、身材曲线优美的邻居在和比尔说话。
夸特马罗茜烦躁地嘶叫着。 农夫琼斯还没有给她送来早上吃的燕麦。 她想调皮一下，就偷偷地朝苹果园走去。 农夫琼斯不知道篱笆上有个洞，但罗茜知道！
瑞克当时在酒吧，看到地上有张驾照。 他四处询问这是谁的。 当然没有找到主人，瑞克不想把它留给一个陌生人。 所以他决定开车去驾照持有者的地址。
我昨天开始节食了。 我吃了一整天的健康食品！ 今天我在冰箱里看到了披萨。 我的意志力崩溃了，我把五块都吃了。
萨姆和他的妻子正忙着收拾行李准备旅行。 他真的很期待这次旅行。 他很高兴能有很多时间和她在一起。 他们打包完毕，然后相视一笑。
斯坦想和埃里克一起去冒险。 但是埃里克的妈妈说埃里克不能出来玩。 斯坦苦苦哀求，但毫无作用。 埃里克溜出了他的房子，敲了敲斯坦的窗户。
格雷格喜欢扔任何他能碰到的东西。 一天，他向远处扔了一块石头。 它穿过了他邻居家的窗户。 他很害怕，但想做正确的事。
布拉德去了海滩。 他做了一个沙堡。 他跳进了大海。 他和小鱼一起游泳。
我们的小狗出去玩了。 他在泥巴里打滚，泥巴沾在了他的皮毛上。 他一回到房子里，我们就把他送去浴室。 他跳入浴缸准备洗个澡。
杰瑞刚刚学会骑自行车，要出去骑行很兴奋。 他开始沿着房子附近的街道骑行，碰上一个坑。 他的自行车立刻停下了，把他掀翻了过去。 他躺在那里大声呼救，但是没有看到一个人。
我决定去访问一个我在网络上约会的人。 我从未当面见过她，但是我信任她。 航班花了几个小时。 当我到达酒店时，她说她就在前面。
我雇了一个社交媒体经理。 我想他们会给我的网站带来更多流量。 他们将大部分时间花在阅读别人的帖子上。 在接下来的这个月我的流量实际上减少了。
萨姆的父母出去过周末了。 他决定举办一个派对。 许多人来参加了。 聚会的人最后把房子搞得乱七八糟。
今天是开学第一天。 我可以穿妈妈买的新衣服了。 我遇到很多新朋友。 我最喜欢的课是音乐。
萨姆买了一台新电视。 它开不了。 他数次按按钮。 最后杰布过来查看。
一天玛蒂尔达百无聊赖。 因此她从电话簿里挑了一个名字和地址。 她给那个随机的人写了一封很傻的信。 收信人竟然给玛蒂尔达回信了！
比尔和泰迪一起在酒吧。 比尔注意到一个漂亮女孩。 他上去跟她调情，但是她不喜欢他。 他喝醉了，口不择言。
昨晚非常吓人。 我们收到一个龙卷风警告，还有可怕的雷暴。 不幸的是，我的小提琴演奏会并没有取消。 我被要求出场，但是在演奏期间灯光灭了。
简妮和琳妮决定去看电影。 简妮想看喜剧，但是琳妮想看惊悚片。 当她们到电影院时，她们决定作出折中。 她们选择了一部既有喜剧又有惊悚部分的动作电影。
奥利瓦想去购物。 她决定去购物中心。 她发现鞋子在大促销。 她买了三双鞋子。
我们将搬到一所全新的房子。 我们的老房子现在对我们的家庭来说太小了。 我们已经打包好了所有的东西。 我对搬到我们的新家很激动。
肖恩早上 8:07 醒来，从床上起来。 他伸手去拿香烟，但是盒子是空的。 肖恩随后穿上几件运动衫，向街角商店走去。 在那里，他购买了一包新港牌香烟。
尼基有一个玩具娃娃。 她非常喜欢她的娃娃。 一天她把她的娃娃弄丢了。 尼基哭了一整天。
安娜在三个月内减了二十磅。 她的朋友们不确定她的秘密方法是什么。 上星期他们决定问她。 她说她在锻炼，并且改善饮食。
鲍勃想要一个汉堡包。 但是他也想吃得更健康一些。 因此他决定做一个素食的汉堡。 鲍勃觉得这不如一个正常的汉堡。
受伤后，汤米需要去看医生。 很快，他的母亲就开车带他去了市中心。 候诊室里人很多！ 过了一会，一个护士过来看汤米。
玛吉想要粉刷她的房间。 她想要一个粉色的房间。 她要她的妈妈给她买颜料。 第二天玛吉就粉刷了她的房间。
肯在网上认识一个很好的男人，他们决定去约会。 他们在一家很好的餐厅会面，握手。 肯和他的约会对象点了食物，进行了简短聊天。 在他们吃东西的时候，肯认定他真的很喜欢这个男人。
加里迷恋上了杰米。 他在她身边非常紧张。 一天，他试图在她面前炫耀。 结果，他反倒从一段楼梯上摔了下去。
莉兹决定，她要尝试种西红柿。 她之前从未种过任何东西。 她从园林中心购买了种子。 整个夏天她都像照看孩子一样照看它们！
比尔想要一块三明治。 他起身走进厨房。 他取齐了做三明治的材料。 他做了一块三明治。
杰克有他自己的铅笔。 它是蓝色的，点缀着星星。 一天他找不到它了。 他四处寻找。
我去商店里买一台电话。 它非常之先进。 我将它带回来，给我的所有朋友们打了电话。 他们也想看看它。
昨晚约翰在做晚饭。 他在做猪排。 很不幸，他把平底锅弄掉了，烫伤了自己。 他不得不去医院。
珍妮发现本星期有人两次在休息室里偷了她的午餐。 她四处询问，找出是谁偷的。 她跟那个人对峙，他们否认了。 珍妮让保安查看监控镜头。
艾玛喜欢画画。 她朋友的生日她就送了一幅画。 另一个人在朋友家里看到了这幅画。 她打电话给艾玛，要她为她的餐厅创作绘画。
汤姆喜欢看老式汽车。 他生日时，他的家人给了他经典汽车博物馆的门票。 汤姆认为这是一份很棒的礼物。 他的家人陪他去了博物馆。
约翰尼在他家的楼梯上来了一趟下降之旅。 现在约翰尼的膝盖淤青了。 他的妈妈安慰他。 最后约翰尼感觉更好了。
麦克是一个大忙人。 他早餐总是吃快餐。 麦克想要享受一顿更健康的早餐。 他尝试了一个隔夜燕麦食谱。
我的老师向我们展示了如何建造木制鸟屋。 每个人都开始试做。 我试着用钉子钉起交界处。 我以用锤子砸中了我的手指而告终。
乔希喜欢看动漫类电视节目。 当他批评其中一档节目时，节目的粉丝对他很生气。 乔希不理解他们为何接受不了批评的声音。 乔希将他的观点深埋心底。
约翰喜欢吃自助餐。 自助餐是他的最爱因为他可以想吃多少吃多少。 他要去的这家很棒的自助餐就在他的公寓附近。 他发现它们自上周起就倒闭停业了。
金博多年来一直从事同一份工作。  他总是在同一个时间去抽烟小歇。 这个星期他们来了一个新老板。 这个新老板不允许去抽烟。
莱斯特迷恋上了克里斯蒂娜。 他是一名摄影师而她是一个平面设计师。 莱斯特与克里斯蒂娜一起度过了他所有的闲暇时光。 终于，她说她爱他并想和他要一个孩子。
我觉得我得完成一个周日填字游戏。 我关掉了我的电脑所以我不会作弊。 我关掉了电视，以免分心。 我打开了休闲版的那一页。
我想给我的头买一顶新帽子。 看了很多张图片后，我选中了一顶。 这顶帽子一定再好不过了！ 我快速地去了超市来买这顶帽子。
朱莉亚烘烤了一个蛋糕。 当它冷却下来后，她准备给它撒上糖霜。 她撒上了粉色的糖霜。 然后，她做了一些小小的糖花。
怀特有一只狗。 它总是在睡觉。 它就不像正常的狗那样睡觉。 它像人一样打鼾。
艾米打完排球回到了家，坐在沙发上。 她的母亲喘着粗气走了进来。 她告诉艾米她满身大汗得去洗个澡。 她们发生了口角因为艾米认为这没什么大不了的。
今天是为和平日种风车的日子。 我的老师把全班带到了学校前面。 每个人都在停下的那附近种了风车。 当我们从远处看风车时，它们正在飞旋。
贝丝当时正期待着她的第一个孩子。 周日下午她在家简单地打扫房间。 突然之间她羊水破了。 贝丝分娩了2天。
